iter	Passed	Remaining
0	3	3983
1	7	3590
2	9	3262
3	13	3326
4	16	3364
5	19	3263
6	23	3264
7	25	3186
8	28	3117
9	31	3133
10	34	3089
11	37	3077
12	40	3051
13	43	3040
14	45	3014
15	48	2974
16	50	2941
17	53	2945
18	56	2925
19	59	2906
20	62	2899
21	65	2916
22	70	2983
23	73	3005
24	76	2984
25	79	2968
26	82	2959
27	86	3017
28	91	3053
29	94	3068
30	97	3053
31	100	3032
32	104	3050
33	107	3046
34	110	3047
35	113	3029
36	115	3008
37	118	3000
38	124	3068
39	127	3061
40	130	3043
41	132	3025
42	136	3031
43	139	3031
44	142	3015
45	144	3000
46	147	2985
47	150	2975
48	153	2971
49	155	2957
50	158	2946
51	160	2932
52	163	2918
53	165	2907
54	169	2904
55	171	2893
56	174	2881
57	176	2869
58	179	2858
59	183	2867
60	186	2867
61	188	2858
62	192	2865
63	196	2872
64	199	2869
65	203	2878
66	207	2889
67	210	2881
68	213	2887
69	218	2909
70	223	2930
71	226	2922
72	229	2911
73	232	2911
74	235	2903
75	238	2894
76	240	2884
77	243	2873
78	245	2862
79	248	2862
80	251	2855
81	254	2846
82	256	2837
83	259	2827
84	262	2821
85	265	2822
86	268	2817
87	271	2812
88	273	2803
89	276	2795
90	280	2797
91	283	2795
92	287	2802
93	290	2804
94	294	2809
95	299	2823
96	302	2816
97	305	2816
98	309	2819
99	313	2823
100	317	2823
101	320	2819
102	323	2820
103	326	2813
104	329	2811
105	332	2804
106	335	2795
107	337	2787
108	340	2779
109	342	2771
110	345	2768
111	348	2761
112	350	2752
113	353	2744
114	355	2736
115	358	2728
116	360	2724
117	363	2718
118	366	2711
119	368	2703
120	371	2695
121	373	2688
122	376	2683
123	380	2690
124	385	2700
125	389	2701
126	392	2700
127	396	2700
128	399	2698
129	402	2693
130	406	2693
131	410	2696
132	413	2694
133	416	2691
134	419	2688
135	422	2683
136	425	2679
137	428	2675
138	431	2670
139	433	2662
140	435	2655
141	438	2649
142	441	2644
143	444	2641
144	446	2635
145	449	2628
146	451	2621
147	454	2615
148	457	2610
149	460	2611
150	463	2605
151	465	2599
152	468	2592
153	470	2586
154	473	2581
155	476	2577
156	479	2575
157	482	2570
158	485	2565
159	487	2560
160	490	2556
161	493	2553
162	496	2547
163	498	2541
164	501	2536
165	503	2530
166	509	2540
167	512	2536
168	514	2531
169	517	2525
170	521	2526
171	524	2525
172	527	2520
173	529	2514
174	532	2508
175	534	2502
176	537	2497
177	540	2495
178	543	2492
179	546	2487
180	548	2482
181	551	2476
182	553	2471
183	556	2468
184	559	2464
185	561	2458
186	564	2453
187	566	2448
188	569	2442
189	572	2440
190	575	2439
191	581	2445
192	584	2445
193	588	2444
194	592	2446
195	595	2441
196	597	2437
197	600	2432
198	603	2428
199	606	2427
200	609	2421
201	611	2416
202	614	2412
203	616	2407
204	621	2410
205	624	2405
206	626	2400
207	629	2395
208	631	2390
209	634	2385
210	637	2382
211	639	2378
212	642	2373
213	644	2368
214	647	2363
215	650	2361
216	653	2359
217	656	2355
218	659	2350
219	662	2348
220	664	2343
221	667	2339
222	670	2336
223	673	2332
224	675	2327
225	680	2330
226	683	2325
227	686	2323
228	689	2322
229	692	2317
230	694	2312
231	697	2308
232	699	2303
233	702	2301
234	705	2296
235	707	2291
236	710	2286
237	712	2282
238	716	2280
239	719	2279
240	722	2274
241	724	2270
242	727	2265
243	729	2261
244	732	2256
245	735	2254
246	738	2250
247	740	2246
248	743	2241
249	745	2237
250	748	2232
251	751	2230
252	754	2227
253	756	2222
254	759	2218
255	761	2213
256	764	2209
257	767	2207
258	770	2203
259	772	2198
260	775	2194
261	777	2190
262	781	2190
263	786	2193
264	789	2189
265	791	2185
266	794	2180
267	797	2178
268	800	2175
269	803	2171
270	805	2167
271	808	2163
272	811	2162
273	815	2159
274	818	2156
275	821	2155
276	824	2151
277	826	2146
278	829	2142
279	832	2139
280	834	2135
281	837	2131
282	839	2127
283	842	2123
284	844	2118
285	847	2115
286	850	2112
287	852	2108
288	855	2104
289	857	2100
290	860	2096
291	863	2092
292	866	2089
293	868	2086
294	871	2081
295	873	2077
296	876	2073
297	879	2072
298	883	2071
299	885	2067
300	888	2063
301	890	2059
302	893	2055
303	896	2052
304	899	2048
305	901	2044
306	904	2040
307	906	2036
308	910	2037
309	914	2034
310	916	2031
311	919	2027
312	922	2024
313	925	2022
314	929	2020
315	932	2018
316	938	2022
317	942	2020
318	946	2020
319	949	2016
320	951	2012
321	954	2008
322	956	2005
323	959	2001
324	962	1999
325	966	1997
326	970	1996
327	973	1994
328	977	1994
329	982	1994
330	987	1995
331	991	1994
332	996	1995
333	1000	1994
334	1004	1993
335	1007	1991
336	1012	1991
337	1016	1990
338	1020	1989
339	1025	1991
340	1030	1991
341	1034	1990
342	1039	1990
343	1044	1991
344	1047	1989
345	1051	1987
346	1055	1985
347	1059	1984
348	1062	1982
349	1066	1979
350	1069	1977
351	1073	1976
352	1080	1979
353	1084	1979
354	1088	1978
355	1092	1976
356	1095	1972
357	1097	1968
358	1100	1964
359	1102	1960
360	1106	1958
361	1109	1955
362	1112	1951
363	1115	1948
364	1117	1944
365	1120	1940
366	1124	1940
367	1128	1938
368	1131	1934
369	1133	1930
370	1136	1926
371	1139	1923
372	1141	1919
373	1145	1917
374	1148	1913
375	1150	1909
376	1152	1905
377	1156	1902
378	1158	1898
379	1161	1894
380	1163	1890
381	1166	1886
382	1168	1882
383	1172	1880
384	1175	1878
385	1178	1874
386	1181	1871
387	1184	1867
388	1187	1864
389	1189	1861
390	1192	1857
391	1194	1853
392	1197	1849
393	1199	1845
394	1202	1841
395	1205	1838
396	1208	1834
397	1210	1831
398	1213	1827
399	1215	1823
400	1218	1820
401	1222	1818
402	1225	1815
403	1228	1812
404	1231	1809
405	1234	1805
406	1237	1803
407	1240	1799
408	1243	1796
409	1245	1792
410	1248	1788
411	1250	1785
412	1253	1782
413	1256	1778
414	1259	1774
415	1261	1771
416	1264	1767
417	1266	1763
418	1269	1760
419	1272	1757
420	1276	1755
421	1279	1752
422	1281	1748
423	1284	1745
424	1287	1742
425	1290	1739
426	1294	1736
427	1297	1733
428	1301	1732
429	1304	1728
430	1306	1725
431	1309	1721
432	1311	1717
433	1314	1714
434	1318	1712
435	1321	1709
436	1323	1705
437	1326	1701
438	1328	1697
439	1331	1694
440	1334	1691
441	1337	1688
442	1340	1685
443	1342	1681
444	1345	1677
445	1347	1674
446	1350	1671
447	1353	1667
448	1355	1663
449	1358	1660
450	1361	1656
451	1363	1653
452	1367	1651
453	1370	1648
454	1372	1644
455	1375	1641
456	1378	1638
457	1381	1635
458	1384	1631
459	1387	1628
460	1389	1624
461	1391	1620
462	1394	1617
463	1397	1613
464	1400	1611
465	1403	1608
466	1405	1604
467	1408	1600
468	1410	1597
469	1414	1594
470	1417	1591
471	1419	1588
472	1422	1584
473	1425	1581
474	1428	1578
475	1431	1576
476	1434	1572
477	1437	1569
478	1440	1566
479	1443	1563
480	1446	1560
481	1449	1557
482	1451	1553
483	1453	1549
484	1456	1546
485	1459	1543
486	1463	1541
487	1465	1538
488	1468	1534
489	1472	1532
490	1475	1530
491	1479	1527
492	1481	1523
493	1483	1519
494	1486	1516
495	1488	1512
496	1491	1509
497	1494	1506
498	1496	1502
499	1499	1499
500	1501	1495
501	1504	1492
502	1507	1489
503	1510	1486
504	1512	1482
505	1515	1479
506	1517	1475
507	1520	1472
508	1524	1470
509	1527	1467
510	1530	1464
511	1533	1461
512	1536	1458
513	1539	1455
514	1542	1452
515	1545	1449
516	1547	1445
517	1549	1442
518	1552	1438
519	1554	1435
520	1558	1432
521	1561	1429
522	1563	1426
523	1566	1423
524	1569	1419
525	1572	1416
526	1575	1413
527	1577	1410
528	1580	1407
529	1582	1403
530	1585	1400
531	1587	1396
532	1590	1393
533	1593	1390
534	1595	1387
535	1598	1383
536	1600	1380
537	1603	1376
538	1606	1374
539	1609	1370
540	1611	1367
541	1614	1364
542	1616	1360
543	1619	1357
544	1623	1355
545	1626	1352
546	1628	1348
547	1631	1345
548	1634	1342
549	1637	1340
550	1641	1337
551	1643	1334
552	1647	1331
553	1649	1328
554	1652	1324
555	1657	1323
556	1660	1320
557	1664	1318
558	1668	1315
559	1674	1315
560	1678	1313
561	1682	1311
562	1686	1309
563	1691	1307
564	1695	1305
565	1699	1303
566	1705	1302
567	1709	1299
568	1713	1297
569	1717	1295
570	1723	1294
571	1727	1292
572	1731	1290
573	1736	1288
574	1739	1286
575	1743	1283
576	1745	1279
577	1748	1276
578	1752	1274
579	1755	1271
580	1759	1268
581	1762	1265
582	1766	1263
583	1769	1260
584	1774	1258
585	1777	1255
586	1779	1252
587	1782	1249
588	1785	1246
589	1788	1242
590	1790	1239
591	1793	1235
592	1795	1232
593	1798	1229
594	1801	1226
595	1804	1222
596	1806	1219
597	1808	1216
598	1811	1212
599	1813	1209
600	1817	1206
601	1819	1203
602	1823	1200
603	1826	1197
604	1828	1193
605	1831	1190
606	1834	1187
607	1837	1184
608	1840	1181
609	1842	1178
610	1845	1174
611	1848	1171
612	1850	1168
613	1853	1165
614	1855	1161
615	1858	1158
616	1860	1155
617	1863	1151
618	1866	1148
619	1869	1146
620	1872	1142
621	1875	1139
622	1878	1136
623	1881	1133
624	1884	1130
625	1887	1127
626	1889	1124
627	1892	1120
628	1894	1117
629	1898	1114
630	1900	1111
631	1903	1108
632	1905	1104
633	1908	1101
634	1910	1098
635	1913	1095
636	1916	1092
637	1919	1088
638	1921	1085
639	1923	1082
640	1927	1079
641	1931	1077
642	1934	1073
643	1937	1070
644	1940	1068
645	1943	1064
646	1946	1061
647	1949	1058
648	1952	1055
649	1955	1052
650	1957	1049
651	1960	1046
652	1964	1043
653	1967	1041
654	1970	1038
655	1973	1034
656	1975	1031
657	1979	1028
658	1981	1025
659	1985	1022
660	1988	1019
661	1991	1016
662	1996	1014
663	1998	1011
664	2002	1008
665	2004	1005
666	2007	1002
667	2010	999
668	2013	996
669	2015	992
670	2018	989
671	2020	986
672	2023	983
673	2027	980
674	2030	977
675	2032	974
676	2035	970
677	2037	967
678	2040	964
679	2043	961
680	2046	958
681	2048	955
682	2051	952
683	2054	949
684	2057	946
685	2060	943
686	2063	940
687	2066	937
688	2071	934
689	2073	931
690	2077	928
691	2080	926
692	2083	922
693	2085	919
694	2088	916
695	2091	913
696	2094	910
697	2097	907
698	2099	904
699	2102	900
700	2104	897
701	2107	894
702	2110	891
703	2112	888
704	2115	885
705	2117	881
706	2120	878
707	2123	875
708	2126	872
709	2128	869
710	2131	866
711	2134	863
712	2136	860
713	2140	857
714	2143	854
715	2146	851
716	2148	848
717	2151	844
718	2153	841
719	2157	839
720	2160	836
721	2163	832
722	2166	829
723	2168	826
724	2172	824
725	2176	821
726	2179	818
727	2181	815
728	2184	812
729	2188	809
730	2191	806
731	2194	803
732	2196	800
733	2199	797
734	2202	794
735	2206	791
736	2209	788
737	2212	785
738	2216	782
739	2219	779
740	2222	776
741	2225	773
742	2229	771
743	2231	767
744	2235	765
745	2239	762
746	2242	759
747	2244	756
748	2248	753
749	2251	750
750	2254	747
751	2257	744
752	2260	741
753	2263	738
754	2267	735
755	2271	733
756	2274	730
757	2277	727
758	2280	724
759	2283	721
760	2287	718
761	2289	715
762	2292	712
763	2295	709
764	2298	706
765	2302	703
766	2305	700
767	2307	697
768	2310	694
769	2313	690
770	2316	687
